,Customer_ID,Name,Age,Gender,Email,Phone,Salary,Purchase_History,Signup_Date,Membership_Level,Feedback
5,7265,Eve,30.0,Female,user4624@gmail.com,+234807993253,150000.0,17,2015-01-06,Silver,Bad
13,3433,Charlie,35.0,Male,user1306@gmail.com,+234803574434,150000.0,13,2015-01-14,Gold,Average
14,6311,Hannah,60.0,Female,user2490@gmail.com,+234804685993,100000.0,4,2015-01-15,VIP,Good
17,2184,Hannah,30.0,Male,user613@gmail.com,+234807310170,50000.0,5,2015-01-18,Platinum,Excellent
19,4385,Frank,30.0,Male,user2081@gmail.com,+234807544994,1000000.0,19,2015-01-20,VIP,Poor
35,4890,Alice,50.0,Female,user901@gmail.com,+234809522162,70000.0,8,2015-02-05,Silver,Good
42,8041,Bob,25.0,Male,user282@gmail.com,+234808731063,30000.0,16,2015-02-12,Gold,Good
43,7235,Hannah,22.0,Male,user2641@gmail.com,+234801276434,50000.0,1,2015-02-13,Bronze,Excellent
44,6486,Grace,35.0,Female,user2409@gmail.com,+234808677582,404993.47896967723,7,2015-02-14,Silver,Bad
46,1775,Alice,18.0,Female,user2622@gmail.com,+234802042049,100000.0,2,2015-02-16,Platinum,Bad
49,2585,Eve,30.0,Male,user3085@gmail.com,+234809440033,70000.0,1,2015-02-19,Gold,Good
50,4943,David,30.0,Female,user3041@gmail.com,Invalid,100000.0,19,2015-02-20,Silver,Poor
53,2021,David,30.0,Male,user4250@gmail.com,+234802804684,404993.47896967723,5,2015-02-23,VIP,Bad
60,1995,Grace,22.0,Female,user765@gmail.com,+234801456335,1000000.0,2,2015-03-02,Gold,Good
61,8629,Bob,50.0,Male,user4803@gmail.com,+234803377810,150000.0,17,2015-03-03,Silver,Excellent
62,2016,Hannah,60.0,Male,user2558@gmail.com,+234805653503,150000.0,2,2015-03-04,Bronze,Good
65,8892,Bob,25.0,Female,user3368@gmail.com,+234805873555,1000000.0,19,2015-03-07,Gold,Good
