Customer_ID,Name,Age,Gender,Email,Phone,Salary,Purchase_History,Signup_Date,Membership_Level,Feedback
8270, Eve  ,18.0,nan,user2595@gmail.com,Invalid,100000.0,0,2015-01-01,VIP, Poor
1860,Alice,22.0,F,user895@gmail.com,+234807803719,50000.0,-2,2015-01-02,VIP,Excellent
6390, Frank  ,60.0,nan,user913@gmail.com,+234801017455,,19,2015-01-03,VIP, Bad 
6191, Eve  ,22.0,F,,Invalid,30000.0,1,2015-01-04,Platinum, Bad 
6734, Alice  ,30.0,Male,user1637@gmail.com,+234801860541,2500000.0,-4,2015-01-05,VIP,nan
7265,Eve,30.0,F,user4624@gmail.com,+234807993253,150000.0,17,2015-01-06,Silver, Bad 
1466,David,25.0,Male,user3983@gmail.com,+234809625746,-5000.0,4,2015-01-07,Bronze, Poor
5426,Grace,50.0,Male,,+234801663634,,8,2015-01-08,nan,nan
6578,Bob,35.0,Male,user951@gmail.com,+234805523848,30000.0,2,2015-01-09,Unknown,Excellent
9322,Eve,35.0,F,user2839@gmail.com,+234808495058,100000.0,-3,2015-01-10,Gold, Bad 
2685, David  ,,Male,user4569@gmail.com,+234806529069,150000.0,-3,2015-01-11,Unknown, Bad 
1769,Grace,35.0,F,user262@gmail.com,+234801386548,-5000.0,-4,2015-01-12,Silver,Excellent
7949,Grace,22.0,UNKNOWN,,+234809327027,70000.0,11,2015-01-13,Bronze,Excellent
3433,Charlie,35.0,Male,user1306@gmail.com,+234803574434,150000.0,13,2015-01-14,Gold, Average
6311,Hannah,60.0,F,user2490@gmail.com,+234804685993,100000.0,4,2015-01-15,VIP,Good
6051, Alice  ,35.0,F,,+234803571429,100000.0,6,2015-01-16,Gold,Good
7420, Charlie  ,18.0,F,,+234803984754,100000.0,17,2015-01-17,nan, Bad 
2184, Hannah  ,,M,user613@gmail.com,+234807310170,50000.0,5,2015-01-18,Platinum,Excellent
5555,Hannah,22.0,M,,+234806605948,-5000.0,3,2015-01-19,Platinum, Average
4385,Frank,30.0,Male,user2081@gmail.com,+234807544994,2500000.0,19,2015-01-20,VIP, Poor
7396, David  ,25.0,nan,user2525@gmail.com,Invalid,100000.0,7,2015-01-21,VIP,Good
9666,Charlie,40.0,UNKNOWN,user3946@gmail.com,+234807634876,70000.0,0,2015-01-22,Silver,nan
3558, Charlie  ,25.0,nan,user634@gmail.com,+234804059506,,8,2015-01-23,Silver,Good
8849, Hannah  ,50.0,Male,user1897@gmail.com,+234801528928,30000.0,16,2015-01-24,Unknown,Excellent
3047, Grace  ,40.0,Female,user4753@gmail.com,+234809137129,150000.0,5,2015-01-25,nan, Poor
3747,David,60.0,Female,,+234802251276,150000.0,-1,2015-01-26,Platinum,Good
1189,Grace,,UNKNOWN,,+234802493027,100000.0,-4,2015-01-27,Bronze, Average
3734,Bob,,UNKNOWN,user552@gmail.com,Invalid,30000.0,1,2015-01-28,Silver,Good
4005,Eve,30.0,UNKNOWN,user414@gmail.com,+234803053603,100000.0,11,2015-01-29,Bronze,Excellent
5658, Frank  ,25.0,M,,+234801642594,2500000.0,0,2015-01-30,Unknown,Excellent
2899,Frank,35.0,M,user3411@gmail.com,+234801365251,50000.0,8,2015-01-31,Platinum,nan
8734,Alice,,Female,user4985@gmail.com,+234807015433,30000.0,-2,2015-02-01,Silver,nan
2267,Grace,35.0,UNKNOWN,user614@gmail.com,+234803689011,100000.0,-3,2015-02-02,Bronze, Poor
2528, Eve  ,,F,user1507@gmail.com,+234803711486,100000.0,5,2015-02-03,Unknown,Good
4556, Hannah  ,,nan,,+234807446185,70000.0,-5,2015-02-04,Bronze, Poor
4890,Alice,50.0,Female,user901@gmail.com,+234809522162,70000.0,8,2015-02-05,Silver,Good
9838,Frank,18.0,UNKNOWN,user3495@gmail.com,+234802300826,-5000.0,0,2015-02-06,VIP, Bad 
6393,Eve,60.0,F,user1447@gmail.com,+234808671893,70000.0,17,2015-02-07,Unknown,Good
9792,Charlie,35.0,UNKNOWN,user3673@gmail.com,+234801580392,-5000.0,11,2015-02-08,Unknown,Excellent
9433,Bob,35.0,Male,,+234801178978,50000.0,11,2015-02-09,Gold,Excellent
8513,Hannah,35.0,F,,+234806311301,2500000.0,17,2015-02-10,VIP, Bad 
3612,Charlie,50.0,nan,user1543@gmail.com,+234801747332,-5000.0,5,2015-02-11,Unknown,Good
